#,Event,Date,Venue,Location,Attendance,url
372,UFC Fight Night: Poirier vs. Johnson,2016-09-17,State Farm Arena,"Hidalgo, Texas, U.S.","5,624",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Poirier_vs._Johnson
371,UFC 203: Miocic vs. Overeem,2016-09-10,Quicken Loans Arena,"Cleveland, Ohio, U.S.","18,875",https://en.wikipedia.org/wiki/UFC_203
370,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,Barclaycard Arena,"Hamburg, Germany","11,763",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Arlovski_vs._Barnett
369,UFC on Fox: Maia vs. Condit,2016-08-27,Rogers Arena,"Vancouver, British Columbia, Canada","10,533",https://en.wikipedia.org/wiki/UFC_on_Fox:_Maia_vs._Condit
368,UFC 202: Diaz vs. McGregor 2,2016-08-20,T-Mobile Arena,"Las Vegas, Nevada, U.S","15,539",https://en.wikipedia.org/wiki/UFC_202
367,UFC Fight Night: Rodríguez vs. Caceres,2016-08-06,Vivint Smart Home Arena,"Salt Lake City, Utah, U.S.","6,689",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Caceres
366,UFC 201: Lawler vs. Woodley,2016-07-30,Philips Arena,"Atlanta, Georgia, U.S.","10,240",https://en.wikipedia.org/wiki/UFC_201
365,UFC on Fox: Holm vs. Shevchenko,2016-07-23,United Center,"Chicago, Illinois, U.S.","10,287",https://en.wikipedia.org/wiki/UFC_on_Fox:_Holm_vs._Shevchenko
364,UFC Fight Night: McDonald vs. Lineker,2016-07-13,Denny Sanford Premier Center,"Sioux Falls, South Dakota, U.S.","5,671",https://en.wikipedia.org/wiki/UFC_Fight_Night:_McDonald_vs._Lineker
363,UFC 200: Tate vs. Nunes,2016-07-09,T-Mobile Arena,"Las Vegas, Nevada, U.S","18,202",https://en.wikipedia.org/wiki/UFC_200
362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","8,115",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale
361,UFC Fight Night: dos Anjos vs. Alvarez,2016-07-07,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","7,760",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Anjos_vs._Alvarez
360,UFC Fight Night: MacDonald vs. Thompson,2016-06-18,TD Place Arena,"Ottawa, Ontario, Canada","10,490",https://en.wikipedia.org/wiki/UFC_Fight_Night:_MacDonald_vs._Thompson
359,UFC 199: Rockhold vs. Bisping 2,2016-06-04,The Forum,"Inglewood, California, U.S.","15,587",https://en.wikipedia.org/wiki/UFC_199
358,UFC Fight Night: Almeida vs. Garbrandt,2016-05-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","5,193",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Almeida_vs._Garbrandt
357,UFC 198: Werdum vs. Miocic,2016-05-14,Arena da Baixada,"Curitiba, Brazil","45,207",https://en.wikipedia.org/wiki/UFC_198
356,UFC Fight Night: Overeem vs. Arlovski,2016-05-08,Rotterdam Ahoy,"Rotterdam, Netherlands","10,421",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Arlovski
355,UFC 197: Jones vs. Saint Preux,2016-04-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,352",https://en.wikipedia.org/wiki/UFC_197
354,UFC on Fox: Teixeira vs. Evans,2016-04-16,Amalie Arena,"Tampa, Florida, U.S.","11,273",https://en.wikipedia.org/wiki/UFC_on_Fox:_Teixeira_vs._Evans
353,UFC Fight Night: Rothwell vs. dos Santos,2016-04-10,Arena Zagreb,"Zagreb, Croatia","13,177",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rothwell_vs._dos_Santos
352,UFC Fight Night: Hunt vs. Mir,2016-03-20,Brisbane Entertainment Centre,"Brisbane, Australia","9,552",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Mir
351,UFC 196: McGregor vs. Diaz,2016-03-05,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,898",https://en.wikipedia.org/wiki/UFC_196
350,UFC Fight Night: Silva vs. Bisping,2016-02-27,The O2 Arena,"London, England, U.K.","16,734",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Silva_vs._Bisping
349,UFC Fight Night: Cowboy vs. Cowboy,2016-02-21,Consol Energy Center,"Pittsburgh, Pennsylvania, U.S.","7,330",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Cowboy
348,UFC Fight Night: Hendricks vs. Thompson,2016-02-06,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","7,422",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hendricks_vs._Thompson
347,UFC on Fox: Johnson vs. Bader,2016-01-30,Prudential Center,"Newark, New Jersey, U.S.","10,555",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Bader
346,UFC Fight Night: Dillashaw vs. Cruz,2016-01-17,TD Garden,"Boston, Massachusetts, U.S.","12,022",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dillashaw_vs._Cruz
345,UFC 195: Lawler vs. Condit,2016-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,300",https://en.wikipedia.org/wiki/UFC_195
344,UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,Amway Center,"Orlando, Florida, U.S.","14,459",https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Anjos_vs._Cowboy_2
343,UFC 194: Aldo vs. McGregor,2015-12-12,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","16,516",https://en.wikipedia.org/wiki/UFC_194
342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, U.S.","2,566",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale
341,UFC Fight Night: Namajunas vs. VanZant,2015-12-10,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, U.S.","1,643",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Namajunas_vs._VanZant
340,UFC Fight Night: Henderson vs. Masvidal,2015-11-28,Olympic Gymnastics Arena,"Seoul, South Korea","12,156",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._Masvidal
339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,2015-11-21,Arena Monterrey,"Monterrey, Mexico","10,410",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Latin_America_2#The_Ultimate_Fighter_Latin_America_2_Finale:_Magny_vs._Gastelum
338,UFC 193: Rousey vs. Holm,2015-11-15,Etihad Stadium,"Melbourne, Australia","56,214",https://en.wikipedia.org/wiki/UFC_193
337,UFC Fight Night: Belfort vs. Henderson 3,2015-11-07,Ginásio do Ibirapuera,"São Paulo, Brazil","10,628",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson_3
336,UFC Fight Night: Holohan vs. Smolka,2015-10-24,3Arena,"Dublin, Ireland","9,500",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holohan_vs._Smolka
335,UFC 192: Cormier vs. Gustafsson,2015-10-03,Toyota Center,"Houston, Texas, U.S.","14,622",https://en.wikipedia.org/wiki/UFC_192
334,UFC Fight Night: Barnett vs. Nelson,2015-09-27,Saitama Super Arena,"Saitama, Japan","10,137",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Barnett_vs._Nelson
333,UFC 191: Johnson vs. Dodson 2,2015-09-05,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,873",https://en.wikipedia.org/wiki/UFC_191
332,UFC Fight Night: Holloway vs. Oliveira,2015-08-23,SaskTel Centre,"Saskatoon, Saskatchewan, Canada","7,202",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._Oliveira
331,UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08,Bridgestone Arena,"Nashville, Tennessee, U.S.","7,539",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Teixeira_vs._Saint_Preux
330,UFC 190: Rousey vs. Correia,2015-08-01,HSBC Arena,"Rio de Janeiro, Brazil","14,723",https://en.wikipedia.org/wiki/UFC_190
329,UFC on Fox: Dillashaw vs. Barão 2,2015-07-25,United Center,"Chicago, Illinois, U.S.","11,663",https://en.wikipedia.org/wiki/UFC_on_Fox:_Dillashaw_vs._Bar%C3%A3o_2
328,UFC Fight Night: Bisping vs. Leites,2015-07-18,The SSE Hydro,"Glasgow, Scotland, U.K.","10,451",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bisping_vs._Leites
327,UFC Fight Night: Mir vs. Duffee,2015-07-15,Valley View Casino Center,"San Diego, California, U.S.","5,471",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mir_vs._Duffee
326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","4,844",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale
325,UFC 189: Mendes vs. McGregor,2015-07-11,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","16,019",https://en.wikipedia.org/wiki/UFC_189
324,UFC Fight Night: Machida vs. Romero,2015-06-27,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","5,604",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Romero
323,UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20,O2 World,"Berlin, Germany","8,155",https://en.wikipedia.org/wiki/UFC_Fight_Night:_J%C4%99drzejczyk_vs._Penne
322,UFC 188: Velasquez vs. Werdum,2015-06-13,Arena Ciudad de México,"Mexico City, Mexico","21,036",https://en.wikipedia.org/wiki/UFC_188
321,UFC Fight Night: Boetsch vs. Henderson,2015-06-06,Smoothie King Center,"New Orleans, Louisiana, U.S.","6,231",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Boetsch_vs._Henderson
320,UFC Fight Night: Condit vs. Alves,2015-05-30,Goiânia Arena,"Goiânia, Brazil","3,500",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Condit_vs._Alves
319,UFC 187: Johnson vs. Cormier,2015-05-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,615",https://en.wikipedia.org/wiki/UFC_187
318,UFC Fight Night: Edgar vs. Faber,2015-05-16,Mall of Asia Arena,"Pasay, Philippines","13,446",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Faber
317,UFC Fight Night: Miocic vs. Hunt,2015-05-10,Adelaide Entertainment Centre,"Adelaide, Australia","7,984",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Miocic_vs._Hunt
316,UFC 186: Johnson vs. Horiguchi,2015-04-25,Bell Centre,"Montreal, Quebec, Canada","10,154",https://en.wikipedia.org/wiki/UFC_186
315,UFC on Fox: Machida vs. Rockhold,2015-04-18,Prudential Center,"Newark, New Jersey, U.S.","13,306",https://en.wikipedia.org/wiki/UFC_on_Fox:_Machida_vs._Rockhold
314,UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11,Tauron Arena Kraków,"Kraków, Poland","10,000",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gonzaga_vs._Cro_Cop_2
313,UFC Fight Night: Mendes vs. Lamas,2015-04-04,Patriot Center,"Fairfax, Virginia, U.S.","5,417",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mendes_vs._Lamas
312,UFC Fight Night: Maia vs. LaFlare,2015-03-21,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","7,707",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._LaFlare
311,UFC 185: Pettis vs. dos Anjos,2015-03-14,American Airlines Center,"Dallas, Texas, U.S.","17,160",https://en.wikipedia.org/wiki/UFC_185
310,UFC 184: Rousey vs. Zingano,2015-02-28,Staples Center,"Los Angeles, California, U.S.","17,654",https://en.wikipedia.org/wiki/UFC_184
309,UFC Fight Night: Bigfoot vs. Mir,2015-02-22,Ginásio Gigantinho,"Porto Alegre, Brazil","5,080",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bigfoot_vs._Mir
308,UFC Fight Night: Henderson vs. Thatch,2015-02-14,1stBank Center,"Broomfield, Colorado, U.S.","5,807",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._Thatch
307,UFC 183: Silva vs. Diaz,2015-01-31,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","13,114",https://en.wikipedia.org/wiki/UFC_183
306,UFC on Fox: Gustafsson vs. Johnson,2015-01-24,Tele2 Arena,"Stockholm, Sweden","30,000",https://en.wikipedia.org/wiki/UFC_on_Fox:_Gustafsson_vs._Johnson
305,UFC Fight Night: McGregor vs. Siver,2015-01-18,TD Garden,"Boston, Massachusetts, U.S.","13,828",https://en.wikipedia.org/wiki/UFC_Fight_Night:_McGregor_vs._Siver
304,UFC 182: Jones vs. Cormier,2015-01-03,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,575",https://en.wikipedia.org/wiki/UFC_182
303,UFC Fight Night: Machida vs. Dollaway,2014-12-20,Ginásio José Corrêa,"Barueri, Brazil",N/A,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Dollaway
302,UFC on Fox: dos Santos vs. Miocic,2014-12-13,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","15,300",https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic
301,The Ultimate Fighter: A Champion Will Be Crowned Finale,2014-12-12,Palms Casino Resort,"Las Vegas, Nevada, U.S.","1,800",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale
300,UFC 181: Hendricks vs. Lawler II,2014-12-06,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","9,617",https://en.wikipedia.org/wiki/UFC_181
299,UFC Fight Night: Edgar vs. Swanson,2014-11-22,Frank Erwin Center,"Austin, Texas, U.S.","10,131",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Swanson
298,UFC 180: Werdum vs. Hunt,2014-11-15,Arena Ciudad de México,"Mexico City, Mexico","21,000",https://en.wikipedia.org/wiki/UFC_180
297,UFC Fight Night: Shogun vs. Saint Preux,2014-11-08,Ginásio Municipal Tancredo Neves,"Uberlândia, Brazil","5,671",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shogun_vs._Saint_Preux
296,UFC Fight Night: Rockhold vs. Bisping,2014-11-08,Allphones Arena,"Sydney, Australia","9,904",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Bisping
295,UFC 179: Aldo vs. Mendes 2,2014-10-25,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","11,415",https://en.wikipedia.org/wiki/UFC_179
294,UFC Fight Night: MacDonald vs. Saffiedine,2014-10-04,Scotiabank Centre,"Halifax, Nova Scotia, Canada","10,782",https://en.wikipedia.org/wiki/UFC_Fight_Night:_MacDonald_vs._Saffiedine
293,UFC Fight Night: Nelson vs. Story,2014-10-04,Ericsson Globe Arena,"Stockholm, Sweden","10,026",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nelson_vs._Story
292,UFC 178: Johnson vs. Cariaso,2014-09-27,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,544",https://en.wikipedia.org/wiki/UFC_178
291,UFC Fight Night: Hunt vs. Nelson,2014-09-20,Saitama Super Arena,"Saitama, Japan","12,395",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Nelson
290,UFC Fight Night: Bigfoot vs. Arlovski,2014-09-13,Ginásio Nilson Nelson,"Brasília, Brazil","8,822",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bigfoot_vs._Arlovski
289,UFC Fight Night: Jacaré vs. Mousasi,2014-09-05,Foxwoods Resort Casino,"Mashantucket, Connecticut, U.S.","4,086",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Jacar%C3%A9_vs._Mousasi
288,UFC 177: Dillashaw vs. Soto,2014-08-30,Sleep Train Arena,"Sacramento, California, U.S.","11,100",https://en.wikipedia.org/wiki/UFC_177
287,UFC Fight Night: Henderson vs. dos Anjos,2014-08-23,BOK Center,"Tulsa, Oklahoma, U.S.","7,119",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._dos_Anjos
286,UFC Fight Night: Bisping vs. Le,2014-08-23,CotaiArena,"Macau, SAR, China","7,022",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bisping_vs._Le
285,UFC Fight Night: Bader vs. Saint Preux,2014-08-16,Cross Insurance Center,"Bangor, Maine, U.S.","5,329",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bader_vs._Saint_Preux
284,UFC on Fox: Lawler vs. Brown,2014-07-26,SAP Center,"San Jose, California, U.S.","11,482",https://en.wikipedia.org/wiki/UFC_on_Fox:_Lawler_vs._Brown
283,UFC Fight Night: McGregor vs. Brandao,2014-07-19,The O2,"Dublin, Ireland","9,500",https://en.wikipedia.org/wiki/UFC_Fight_Night:_McGregor_vs._Brandao
282,UFC Fight Night: Cowboy vs. Miller,2014-07-16,Revel Casino Hotel,"Atlantic City, New Jersey, U.S.","4,115",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Miller
281,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,2014-07-06,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","6,500",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Edgar_vs._Team_Penn#The_Ultimate_Fighter_19_Finale
280,UFC 175: Weidman vs. Machida,2014-07-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,088",https://en.wikipedia.org/wiki/UFC_175
279,UFC Fight Night: Swanson vs. Stephens,2014-06-28,AT&T Center,"San Antonio, Texas, U.S.","9,227",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Stephens
278,UFC Fight Night: Te Huna vs. Marquardt,2014-06-28,Vector Arena,"Auckland, New Zealand","8,089",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Te_Huna_vs._Marquardt
277,UFC 174: Johnson vs. Bagautinov,2014-06-14,Rogers Arena,"Vancouver, British Columbia, Canada","13,506",https://en.wikipedia.org/wiki/UFC_174
276,UFC Fight Night: Henderson vs. Khabilov,2014-06-07,Tingley Coliseum,"Albuquerque, New Mexico, U.S.","8,775",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._Khabilov
275,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,2014-05-31,Ginásio do Ibirapuera,"São Paulo, Brazil","8,986",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Brazil_3#The_Ultimate_Fighter_Brazil_3_Finale:_Miocic_vs._Maldonado
274,UFC Fight Night: Muñoz vs. Mousasi,2014-05-31,O2 World,"Berlin, Germany","8,000",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mu%C3%B1oz_vs._Mousasi
273,UFC 173: Barão vs. Dillashaw,2014-05-24,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,036",https://en.wikipedia.org/wiki/UFC_173
272,UFC Fight Night: Brown vs. Silva,2014-05-10,U.S. Bank Arena,"Cincinnati, Ohio, U.S.","6,143",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brown_vs._Silva
271,UFC 172: Jones vs. Teixeira,2014-04-26,Baltimore Arena,"Baltimore, Maryland, U.S.","13,485",https://en.wikipedia.org/wiki/UFC_172
270,UFC on Fox: Werdum vs. Browne,2014-04-19,Amway Center,"Orlando, Florida, U.S.","17,000",https://en.wikipedia.org/wiki/UFC_on_Fox:_Werdum_vs._Browne
269,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,2014-04-16,Colisée Pepsi,"Quebec City, Quebec, Canada","5,029",https://en.wikipedia.org/wiki/The_Ultimate_Fighter_Nations:_Canada_vs._Australia#The_Ultimate_Fighter_Nations_Finale:_Bisping_vs._Kennedy
268,UFC Fight Night: Nogueira vs. Nelson,2014-04-11,du Arena,"Abu Dhabi, United Arab Emirates","7,963",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nogueira_vs._Nelson
267,UFC Fight Night: Shogun vs. Henderson 2,2014-03-23,Ginásio Nélio Dias,"Natal, Brazil","6,828",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shogun_vs._Henderson_2
266,UFC 171: Hendricks vs. Lawler,2014-03-15,American Airlines Center,"Dallas, Texas, U.S.","19,324",https://en.wikipedia.org/wiki/UFC_171
265,UFC Fight Night: Gustafsson vs. Manuwa,2014-03-08,The O2 Arena,"London, England, U.K.","14,604",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Manuwa
264,The Ultimate Fighter China Finale: Kim vs. Hathaway,2014-03-01,CotaiArena,"Macau, SAR, China","6,000",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_China#The_Ultimate_Fighter_China_Finale:_Kim_vs._Hathaway
263,UFC 170: Rousey vs. McMann,2014-02-22,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","10,217",https://en.wikipedia.org/wiki/UFC_170
262,UFC Fight Night: Machida vs. Mousasi,2014-02-15,Arena Jaraguá,"Jaraguá do Sul, Brazil","7,511",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mousasi
261,UFC 169: Barão vs. Faber II,2014-02-01,Prudential Center,"Newark, New Jersey, U.S.","14,308",https://en.wikipedia.org/wiki/UFC_169
260,UFC on Fox: Henderson vs. Thomson,2014-01-25,United Center,"Chicago, Illinois, U.S.","10,895",https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Thomson
259,UFC Fight Night: Rockhold vs. Philippou,2014-01-15,Arena at Gwinnett Center,"Duluth, Georgia, U.S.","5,822",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou
258,UFC Fight Night: Saffiedine vs. Lim,2014-01-04,Marina Bay Sands,"Marina Bay, Singapore","5,216",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Saffiedine_vs._Lim
257,UFC 168: Weidman vs. Silva 2,2013-12-28,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","15,650",https://en.wikipedia.org/wiki/UFC_168
256,UFC on Fox: Johnson vs. Benavidez 2,2013-12-14,Sleep Train Arena,"Sacramento, California, U.S.","11,573",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Benavidez_2
255,UFC Fight Night: Hunt vs. Bigfoot,2013-12-07,Brisbane Entertainment Centre,"Brisbane, Australia","11,393",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Bigfoot
254,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,2013-11-30,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","4,853",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Rousey_vs._Team_Tate#The_Ultimate_Fighter_18_Finale
253,UFC 167: St-Pierre vs. Hendricks,2013-11-16,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,856",https://en.wikipedia.org/wiki/UFC_167
252,UFC Fight Night: Belfort vs. Henderson,2013-11-09,Goiânia Arena,"Goiânia, Brazil","10,565",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson
251,UFC: Fight for the Troops 3,2013-11-06,Fort Campbell,"Fort Campbell, Kentucky, U.S.",N/A,https://en.wikipedia.org/wiki/UFC:_Fight_for_the_Troops_3
250,UFC Fight Night: Machida vs. Muñoz,2013-10-26,Phones 4u Arena,"Manchester, England, U.K.","10,355",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Mu%C3%B1oz
249,UFC 166: Velasquez vs. dos Santos III,2013-10-19,Toyota Center,"Houston, Texas, U.S.","17,238",https://en.wikipedia.org/wiki/UFC_166
248,UFC Fight Night: Maia vs. Shields,2013-10-09,Ginásio José Corrêa,"Barueri, Brazil","6,621",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._Shields
247,UFC 165: Jones vs. Gustafsson,2013-09-21,Air Canada Centre,"Toronto, Ontario, Canada","15,504",https://en.wikipedia.org/wiki/UFC_165
246,UFC Fight Night: Teixeira vs. Bader,2013-09-04,Mineirinho Arena,"Belo Horizonte, Brazil","5,126",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Teixeira_vs._Bader
245,UFC 164: Henderson vs. Pettis,2013-08-31,BMO Harris Bradley Center,"Milwaukee, Wisconsin, U.S.","9,178",https://en.wikipedia.org/wiki/UFC_164
244,UFC Fight Night: Condit vs. Kampmann 2,2013-08-28,Bankers Life Fieldhouse,"Indianapolis, Indiana, U.S.","6,417",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Condit_vs._Kampmann_2
243,UFC Fight Night: Shogun vs. Sonnen,2013-08-17,TD Garden,"Boston, Massachusetts, U.S.","14,181",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shogun_vs._Sonnen
242,UFC 163: Aldo vs. Korean Zombie,2013-08-03,HSBC Arena,"Rio de Janeiro, Brazil","13,873",https://en.wikipedia.org/wiki/UFC_163
241,UFC on Fox: Johnson vs. Moraga,2013-07-27,KeyArena,"Seattle, Washington, U.S.","8,967",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Moraga
240,UFC 162: Silva vs. Weidman,2013-07-06,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,964",https://en.wikipedia.org/wiki/UFC_162
239,UFC 161: Evans vs. Henderson,2013-06-15,MTS Centre,"Winnipeg, Manitoba, Canada","14,754",https://en.wikipedia.org/wiki/UFC_161
238,UFC on Fuel TV: Nogueira vs. Werdum,2013-06-08,Ginásio Paulo Sarasate,"Fortaleza, Brazil","6,286",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Brazil_2#The_Ultimate_Fighter:_Brazil_2_Finale
237,UFC 160: Velasquez vs. Bigfoot 2,2013-05-25,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,380",https://en.wikipedia.org/wiki/UFC_160
236,UFC on FX: Belfort vs. Rockhold,2013-05-18,Arena Jaraguá,"Jaraguá do Sul, Brazil","7,642",https://en.wikipedia.org/wiki/UFC_on_FX:_Belfort_vs._Rockhold
235,UFC 159: Jones vs. Sonnen,2013-04-27,Prudential Center,"Newark, New Jersey, U.S.","15,227",https://en.wikipedia.org/wiki/UFC_159
234,UFC on Fox: Henderson vs. Melendez,2013-04-20,HP Pavilion,"San Jose, California, U.S.","13,506",https://en.wikipedia.org/wiki/UFC_on_Fox:_Henderson_vs._Melendez
233,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,2013-04-13,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","5,918",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Jones_vs._Team_Sonnen#The_Ultimate_Fighter_17_Finale
232,UFC on Fuel TV: Mousasi vs. Latifi,2013-04-06,Ericsson Globe Arena,"Stockholm, Sweden","14,506",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Mousasi_vs._Latifi
231,UFC 158: St-Pierre vs. Diaz,2013-03-16,Bell Centre,"Montreal, Quebec, Canada","20,145",https://en.wikipedia.org/wiki/UFC_158
230,UFC on Fuel TV: Silva vs. Stann,2013-03-03,Saitama Super Arena,"Saitama, Japan","14,682",https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Silva_vs._Stann
