WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,wiki_url,event_order,Method_Cleaned,Card_Cleaned,Winner_Cleaned,Loser_Cleaned,Champion,Interim_Champion
Catchweight (158.5 lbs),Charles Oliveira,def,Kevin Lee,Submission (guillotine choke),3,0:28,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Charles_Oliveira,https://en.wikipedia.org/wiki/Kevin_Lee_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,1,Sub,Main Event,Charles Oliveira,Kevin Lee,,
Welterweight,Gilbert Burns,def,Demian Maia,TKO (punches),1,2:34,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Gilbert_Burns_(fighter),https://en.wikipedia.org/wiki/Demian_Maia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,2,KO,Main Event,Gilbert Burns,Demian Maia,,
Lightweight,Renato Moicano,def,Damir Hadžović,Submission (rear-naked choke),1,0:44,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Renato_Moicano,https://en.wikipedia.org/wiki/Damir_Had%C5%BEovi%C4%87,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,3,Sub,Main Event,Renato Moicano,Damir Hadžović,,
Light Heavyweight,Nikita Krylov,def,Johnny Walker,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Nikita_Krylov,https://en.wikipedia.org/wiki/Johnny_Walker_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,4,Unanimous Decision,Main Event,Nikita Krylov,Johnny Walker,,
Lightweight,Francisco Trinaldo,def,John Makdessi,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Francisco_Trinaldo,https://en.wikipedia.org/wiki/John_Makdessi,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,5,Unanimous Decision,Main Event,Francisco Trinaldo,John Makdessi,,
Flyweight,Brandon Moreno,def,Jussier Formiga,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Brandon_Moreno,https://en.wikipedia.org/wiki/Jussier_Formiga,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,6,Unanimous Decision,Prelim,Brandon Moreno,Jussier Formiga,,
Women's Strawweight,Amanda Ribas,def,Randa Markos,"Decision (unanimous) (30–26, 30–25, 30–25)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Amanda_Ribas,https://en.wikipedia.org/wiki/Randa_Markos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,7,Unanimous Decision,Prelim,Amanda Ribas,Randa Markos,,
Welterweight,Elizeu Zaleski dos Santos,def,Alexey Kunchenko,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Elizeu_Zaleski_dos_Santos,https://en.wikipedia.org/wiki/Alexey_Kunchenko,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,8,Unanimous Decision,Prelim,Elizeu Zaleski dos Santos,Alexey Kunchenko,,
Bantamweight,Enrique Barzola,vs,Rani Yahya,"Draw (majority) (29–28, 28–28, 28–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Enrique_Barzola,https://en.wikipedia.org/wiki/Rani_Yahya,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,9,,Prelim,Enrique Barzola,Rani Yahya,,
Women's Flyweight,Maryna Moroz,def,Mayra Bueno Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Maryna_Moroz,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,10,Unanimous Decision,Prelim,Maryna Moroz,Mayra Bueno Silva,,
Flyweight,David Dvořák,def,Bruno Gustavo da Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,11,Unanimous Decision,Prelim,David Dvořák,Bruno Gustavo da Silva,,
Women's Bantamweight,Bea Malecki,def,Veronica Macedo,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+/ESPN),,https://en.wikipedia.org/wiki/Veronica_Macedo,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,12,Unanimous Decision,Prelim,Bea Malecki,Veronica Macedo,,
Middleweight,Israel Adesanya (c),def,Yoel Romero,"Decision (unanimous) (48–47, 48–47, 49–46)",5,5:00,For the UFC Middleweight Championship.,Main Card,https://en.wikipedia.org/wiki/Israel_Adesanya,https://en.wikipedia.org/wiki/Yoel_Romero,https://en.wikipedia.org/wiki/UFC_248,1,Unanimous Decision,Main Event,Israel Adesanya,Yoel Romero,Israel Adesanya,
Women's Strawweight,Zhang Weili (c),def,Joanna Jędrzejczyk,"Decision (split) (48–47, 47–48, 48–47)",5,5:00,For the UFC Women's Strawweight Championship.,Main Card,https://en.wikipedia.org/wiki/Zhang_Weili,https://en.wikipedia.org/wiki/Joanna_J%C4%99drzejczyk,https://en.wikipedia.org/wiki/UFC_248,2,Split Decision,Main Event,Zhang Weili,Joanna Jędrzejczyk,Zhang Weili,
Lightweight,Beneil Dariush,def,Drakkar Klose,KO (punch),2,1:00,,Main Card,https://en.wikipedia.org/wiki/Beneil_Dariush,https://en.wikipedia.org/wiki/Drakkar_Klose,https://en.wikipedia.org/wiki/UFC_248,3,KO,Main Event,Beneil Dariush,Drakkar Klose,,
Welterweight,Neil Magny,def,Li Jingliang,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main Card,https://en.wikipedia.org/wiki/Neil_Magny,https://en.wikipedia.org/wiki/Li_Jingliang,https://en.wikipedia.org/wiki/UFC_248,4,Unanimous Decision,Main Event,Neil Magny,Li Jingliang,,
Welterweight,Alex Oliveira,def,Max Griffin,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,,Main Card,https://en.wikipedia.org/wiki/Alex_Oliveira_(fighter),https://en.wikipedia.org/wiki/Max_Griffin_(fighter),https://en.wikipedia.org/wiki/UFC_248,5,Split Decision,Main Event,Alex Oliveira,Max Griffin,,
Bantamweight,Sean O'Malley,def,José Alberto Quiñónez,TKO (head kick and punches),1,2:02,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Sean_O%27Malley_(fighter),https://en.wikipedia.org/wiki/Jos%C3%A9_Alberto_Qui%C3%B1%C3%B3nez,https://en.wikipedia.org/wiki/UFC_248,6,KO,Prelim,Sean O'Malley,José Alberto Quiñónez,,
Lightweight,Mark Madsen,def,Austin Hubbard,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Mark_Madsen_(wrestler),https://en.wikipedia.org/wiki/Austin_Hubbard,https://en.wikipedia.org/wiki/UFC_248,7,Unanimous Decision,Prelim,Mark Madsen,Austin Hubbard,,
Middleweight,Rodolfo Vieira,def,Saparbek Safarov,Submission (arm-triangle choke),1,2:58,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Rodolfo_Vieira_(fighter),https://en.wikipedia.org/wiki/Saparbek_Safarov,https://en.wikipedia.org/wiki/UFC_248,8,Sub,Prelim,Rodolfo Vieira,Saparbek Safarov,,
Middleweight,Gerald Meerschaert,def,Deron Winn,Submission (rear-naked choke),3,2:13,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Gerald_Meerschaert,https://en.wikipedia.org/wiki/Deron_Winn,https://en.wikipedia.org/wiki/UFC_248,9,Sub,Prelim,Gerald Meerschaert,Deron Winn,,
Featherweight,Giga Chikadze,def,Jamall Emmers,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Early Preliminary Card (ESPN+),,,https://en.wikipedia.org/wiki/UFC_248,10,Split Decision,Prelim,Giga Chikadze,Jamall Emmers,,
Bantamweight,Danaa Batgerel,def,Guido Cannetti,KO (punches),1,3:01,,Early Preliminary Card (ESPN+),,https://en.wikipedia.org/wiki/Guido_Cannetti,https://en.wikipedia.org/wiki/UFC_248,11,KO,Prelim,Danaa Batgerel,Guido Cannetti,,
Catchweight (127.5 lbs),Deiveson Figueiredo,def,Joseph Benavidez,TKO (punches),2,1:54,For the vacant UFC Flyweight Championship (only Benavidez was eligible).,Main card (ESPN+),https://en.wikipedia.org/wiki/Deiveson_Figueiredo,https://en.wikipedia.org/wiki/Joseph_Benavidez,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,1,KO,Main Event,Deiveson Figueiredo,Joseph Benavidez,,
Women's Featherweight,Felicia Spencer,def,Zarah Fairn dos Santos,TKO (elbows and punches),1,3:37,,Main card (ESPN+),https://en.wikipedia.org/wiki/Felicia_Spencer,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,2,KO,Main Event,Felicia Spencer,Zarah Fairn dos Santos,,
Light Heavyweight,Magomed Ankalaev,def,Ion Cuțelaba,TKO (head kicks and punches),1,0:38,,Main card (ESPN+),https://en.wikipedia.org/wiki/Magomed_Ankalaev,https://en.wikipedia.org/wiki/Ion_Cu%C8%9Belaba,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,3,KO,Main Event,Magomed Ankalaev,Ion Cuțelaba,,
Women's Featherweight,Megan Anderson,def,Norma Dumont Viana,KO (punch),1,3:31,,Main card (ESPN+),https://en.wikipedia.org/wiki/Megan_Anderson_(fighter),,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,4,KO,Main Event,Megan Anderson,Norma Dumont Viana,,
Catchweight (149.5 lbs),Grant Dawson,def,Darrick Minner,Submission (rear-naked choke),2,1:38,,Main card (ESPN+),https://en.wikipedia.org/wiki/Grant_Dawson,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,5,Sub,Main Event,Grant Dawson,Darrick Minner,,
Bantamweight,Kyler Phillips,def,Gabriel Silva,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (ESPN+),,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,6,Unanimous Decision,Prelim,Kyler Phillips,Gabriel Silva,,
Middleweight,Brendan Allen,def,Tom Breese,TKO (elbows and punches),1,4:47,,Preliminary card (ESPN+),,https://en.wikipedia.org/wiki/Tom_Breese,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,7,KO,Prelim,Brendan Allen,Tom Breese,,
Heavyweight,Marcin Tybura,def,Sergey Spivak,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Marcin_Tybura,https://en.wikipedia.org/wiki/Sergey_Spivak,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,8,Unanimous Decision,Prelim,Marcin Tybura,Sergey Spivak,,
Lightweight,Luis Peña,def,Steve Garcia,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Luis_Pe%C3%B1a_(fighter),https://en.wikipedia.org/wiki/Steve_Garcia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,9,Unanimous Decision,Prelim,Luis Peña,Steve Garcia,,
Featherweight,Jordan Griffin,def,T.J. Brown,Technical Submission (guillotine choke),2,3:38,,Preliminary card (ESPN+),,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,10,Sub,Prelim,Jordan Griffin,T.J. Brown,,
Featherweight,Spike Carlyle,def,Aalon Cruz,TKO (punches),1,1:25,,Preliminary card (ESPN+),,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,11,KO,Prelim,Spike Carlyle,Aalon Cruz,,
Welterweight,Sean Brady,def,Ismail Naurdiev,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,,Preliminary card (ESPN+),,https://en.wikipedia.org/wiki/Ismail_Naurdiev,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,12,Unanimous Decision,Prelim,Sean Brady,Ismail Naurdiev,,
Lightweight,Dan Hooker,def,Paul Felder,"Decision (split) (47–48, 48–47, 48–47)",5,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Dan_Hooker,https://en.wikipedia.org/wiki/Paul_Felder,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,1,Split Decision,Main Event,Dan Hooker,Paul Felder,,
Light Heavyweight,Jimmy Crute,def,Michał Oleksiejczuk,Submission (kimura),1,3:29,,Main card (ESPN+),https://en.wikipedia.org/wiki/Jimmy_Crute,https://en.wikipedia.org/wiki/Micha%C5%82_Oleksiejczuk,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,2,Sub,Main Event,Jimmy Crute,Michał Oleksiejczuk,,
Women's Strawweight,Yan Xiaonan,def,Karolina Kowalkiewicz,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Yan_Xiaonan,https://en.wikipedia.org/wiki/Karolina_Kowalkiewicz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,3,Unanimous Decision,Main Event,Yan Xiaonan,Karolina Kowalkiewicz,,
Heavyweight,Marcos Rogério de Lima,def,Ben Sosoli,TKO (punches),1,1:28,,Main card (ESPN+),https://en.wikipedia.org/wiki/Marcos_Rog%C3%A9rio_de_Lima,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,4,KO,Main Event,Marcos Rogério de Lima,Ben Sosoli,,
Lightweight,Brad Riddell,def,Magomed Mustafaev,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,,Main card (ESPN+),,https://en.wikipedia.org/wiki/Magomed_Mustafaev,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,5,Split Decision,Main Event,Brad Riddell,Magomed Mustafaev,,
Featherweight,Zubaira Tukhugov,def,Kevin Aguilar,TKO (punches),1,3:21,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Zubaira_Tukhugov,https://en.wikipedia.org/wiki/Kevin_Aguilar,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,6,KO,Prelim,Zubaira Tukhugov,Kevin Aguilar,,
Lightweight,Jalin Turner,def,Joshua Culibao,TKO (punches),2,3:01,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Jalin_Turner,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,7,KO,Prelim,Jalin Turner,Joshua Culibao,,
Welterweight,Jake Matthews,def,Emil Weber Meek,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Jake_Matthews_(fighter),https://en.wikipedia.org/wiki/Emil_Weber_Meek,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,8,Unanimous Decision,Prelim,Jake Matthews,Emil Weber Meek,,
Welterweight,Song Kenan,def,Callan Potter,KO (punches),1,2:20,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Song_Kenan,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,9,KO,Prelim,Song Kenan,Callan Potter,,
Flyweight,Kai Kara-France,def,Tyson Nam,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Kai_Kara-France,https://en.wikipedia.org/wiki/Tyson_Nam,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,10,Unanimous Decision,Prelim,Kai Kara-France,Tyson Nam,,
Women's Strawweight,Angela Hill,def,Loma Lookboonmee,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Angela_Hill_(fighter),https://en.wikipedia.org/wiki/Loma_Lookboonmee,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,11,Unanimous Decision,Prelim,Angela Hill,Loma Lookboonmee,,
Women's Flyweight,Priscila Cachoeira,def,Shana Dobson,KO (punch),1,0:40,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Priscila_Cachoeira,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,12,KO,Prelim,Priscila Cachoeira,Shana Dobson,,
Light Heavyweight,Jan Błachowicz,def,Corey Anderson,KO (punch),1,3:08,,Main card (ESPN+),https://en.wikipedia.org/wiki/Jan_B%C5%82achowicz,https://en.wikipedia.org/wiki/Corey_Anderson_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,1,KO,Main Event,Jan Błachowicz,Corey Anderson,,
Welterweight,Diego Sanchez,def,Michel Pereira,DQ (illegal knee),3,3:09,,Main card (ESPN+),https://en.wikipedia.org/wiki/Diego_Sanchez,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,2,,Main Event,Diego Sanchez,Michel Pereira,,
Women's Flyweight,Montana De La Rosa,def,Mara Romero Borella,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Montana_De_La_Rosa,https://en.wikipedia.org/wiki/Mara_Romero_Borella,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,3,Unanimous Decision,Main Event,Montana De La Rosa,Mara Romero Borella,,
Lightweight,Brok Weaver,def,Kazula Vargas,DQ (illegal knee),1,4:02,,Main card (ESPN+),,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,4,,Main Event,Brok Weaver,Kazula Vargas,,
Catchweight (128 lbs),Ray Borg,def,Rogério Bontorin,"Decision (unanimous) (30–27, 30–27, 30–25)",3,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Ray_Borg,https://en.wikipedia.org/wiki/Rog%C3%A9rio_Bontorin,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,5,Unanimous Decision,Main Event,Ray Borg,Rogério Bontorin,,
Lightweight,Lando Vannata,def,Yancy Medeiros,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Lando_Vannata,https://en.wikipedia.org/wiki/Yancy_Medeiros,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,6,Unanimous Decision,Main Event,Lando Vannata,Yancy Medeiros,,
Welterweight,Daniel Rodriguez,def,Tim Means,Submission (guillotine choke),2,3:37,,Preliminary card (ESPN+),,https://en.wikipedia.org/wiki/Tim_Means,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,7,Sub,Prelim,Daniel Rodriguez,Tim Means,,
Bantamweight,John Dodson,def,Nathaniel Wood,TKO (punches),3,0:16,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/John_Dodson_(fighter),https://en.wikipedia.org/wiki/Nathaniel_Wood_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,8,KO,Prelim,John Dodson,Nathaniel Wood,,
Lightweight,Scott Holtzman,def,Jim Miller,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Scott_Holtzman,https://en.wikipedia.org/wiki/Jim_Miller_(fighter),https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,9,Unanimous Decision,Prelim,Scott Holtzman,Jim Miller,,
Light Heavyweight,Devin Clark,def,Dequan Townsend,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Devin_Clark_(fighter),,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,10,Unanimous Decision,Prelim,Devin Clark,Dequan Townsend,,
Bantamweight,Merab Dvalishvili,def,Casey Kenney,"Decision (unanimous) (30–27, 30–25, 29–28)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Merab_Dvalishvili,https://en.wikipedia.org/wiki/Casey_Kenney,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,11,Unanimous Decision,Prelim,Merab Dvalishvili,Casey Kenney,,
Women's Bantamweight,Macy Chiasson,def,Shanna Young,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Macy_Chiasson,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,12,Unanimous Decision,Prelim,Macy Chiasson,Shanna Young,,
Flyweight,Raulian Paiva,def,Mark De La Rosa,KO (punches),2,4:42,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Raulian_Paiva,https://en.wikipedia.org/wiki/Mark_De_La_Rosa,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,13,KO,Prelim,Raulian Paiva,Mark De La Rosa,,
Light Heavyweight,Jon Jones (c),def,Dominick Reyes,"Decision (unanimous) (48–47, 48–47, 49–46)",5,5:00,For the UFC Light Heavyweight Championship.,Main card,https://en.wikipedia.org/wiki/Jon_Jones,https://en.wikipedia.org/wiki/Dominick_Reyes,https://en.wikipedia.org/wiki/UFC_247,1,Unanimous Decision,Main Event,Jon Jones,Dominick Reyes,Jon Jones,
Women’s Flyweight,Valentina Shevchenko (c),def,Katlyn Chookagian,TKO (elbows and punches),3,1:03,For the UFC Women's Flyweight Championship.,Main card,https://en.wikipedia.org/wiki/Valentina_Shevchenko_(fighter),https://en.wikipedia.org/wiki/Katlyn_Chookagian,https://en.wikipedia.org/wiki/UFC_247,2,KO,Main Event,Valentina Shevchenko,Katlyn Chookagian,Valentina Shevchenko,
Heavyweight,Justin Tafa,def,Juan Adams,TKO (punches),1,1:59,,Main card,https://en.wikipedia.org/wiki/Justin_Tafa,https://en.wikipedia.org/wiki/Juan_Adams,https://en.wikipedia.org/wiki/UFC_247,3,KO,Main Event,Justin Tafa,Juan Adams,,
Featherweight,Dan Ige,def,Mirsad Bektić,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,,Main card,https://en.wikipedia.org/wiki/Dan_Ige,https://en.wikipedia.org/wiki/Mirsad_Bekti%C4%87,https://en.wikipedia.org/wiki/UFC_247,4,Split Decision,Main Event,Dan Ige,Mirsad Bektić,,
Heavyweight,Derrick Lewis,def,Ilir Latifi,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,,Main card,https://en.wikipedia.org/wiki/Derrick_Lewis_(fighter),https://en.wikipedia.org/wiki/Ilir_Latifi,https://en.wikipedia.org/wiki/UFC_247,5,Unanimous Decision,Main Event,Derrick Lewis,Ilir Latifi,,
Middleweight,Trevin Giles,def,James Krause,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,,Preliminary Card (ESPN / ESPN+),https://en.wikipedia.org/wiki/Trevin_Giles,https://en.wikipedia.org/wiki/James_Krause_(fighter),https://en.wikipedia.org/wiki/UFC_247,6,Split Decision,Prelim,Trevin Giles,James Krause,,
Women's Flyweight,Lauren Murphy,def,Andrea Lee,"Decision (split) (28–29, 29–28, 30–27)",3,5:00,,Preliminary Card (ESPN / ESPN+),https://en.wikipedia.org/wiki/Lauren_Murphy,https://en.wikipedia.org/wiki/Andrea_Lee_(fighter),https://en.wikipedia.org/wiki/UFC_247,7,Split Decision,Prelim,Lauren Murphy,Andrea Lee,,
Welterweight,Kalinn Williams,def,Alex Morono,KO (punches),1,0:27,,Preliminary Card (ESPN / ESPN+),,https://en.wikipedia.org/wiki/Alex_Morono,https://en.wikipedia.org/wiki/UFC_247,8,KO,Prelim,Kalinn Williams,Alex Morono,,
Bantamweight,Mario Bautista,def,Miles Johns,TKO (flying knee and punches),2,1:41,,Preliminary Card (ESPN / ESPN+),https://en.wikipedia.org/wiki/Mario_Bautista,,https://en.wikipedia.org/wiki/UFC_247,9,KO,Prelim,Mario Bautista,Miles Johns,,
Bantamweight,Journey Newson,vs,Domingo Pilarte,No Contest (overturned),1,0:38,Originally a TKO (punches) win for Newson; overturned after he tested positive for marijuana.,Early Preliminary Card (UFC Fight Pass / ESPN+),,,https://en.wikipedia.org/wiki/UFC_247,10,,Prelim,Journey Newson,Domingo Pilarte,,
Bantamweight,Andre Ewell,def,Jonathan Martinez,"Decision (split) (28–29, 29–28, 30–27)",3,5:00,,Early Preliminary Card (UFC Fight Pass / ESPN+),https://en.wikipedia.org/wiki/Andre_Ewell,https://en.wikipedia.org/wiki/Jonathan_Martinez_(fighter),https://en.wikipedia.org/wiki/UFC_247,11,Split Decision,Prelim,Andre Ewell,Jonathan Martinez,,
Featherweight,Youssef Zalal,def,Austin Lingo,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,,Early Preliminary Card (UFC Fight Pass / ESPN+),,,https://en.wikipedia.org/wiki/UFC_247,12,Unanimous Decision,Prelim,Youssef Zalal,Austin Lingo,,
Heavyweight,Curtis Blaydes,def,Junior dos Santos,TKO (punches),2,1:06,,Main Card (ESPN+),https://en.wikipedia.org/wiki/Curtis_Blaydes,https://en.wikipedia.org/wiki/Junior_dos_Santos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,1,KO,Main Event,Curtis Blaydes,Junior dos Santos,,
Welterweight,Michael Chiesa,def,Rafael dos Anjos,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,,Main Card (ESPN+),https://en.wikipedia.org/wiki/Michael_Chiesa,https://en.wikipedia.org/wiki/Rafael_dos_Anjos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,2,Unanimous Decision,Main Event,Michael Chiesa,Rafael dos Anjos,,
Flyweight,Alex Perez,def,Jordan Espinosa,Technical Submission (arm-triangle choke),1,2:33,,Main Card (ESPN+),https://en.wikipedia.org/wiki/Alex_Perez_(fighter),,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,3,Sub,Main Event,Alex Perez,Jordan Espinosa,,
Women's Strawweight,Angela Hill,def,Hannah Cifers,TKO (elbows and punches),2,4:26,,Main Card (ESPN+),https://en.wikipedia.org/wiki/Angela_Hill_(fighter),https://en.wikipedia.org/wiki/Hannah_Cifers,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,4,KO,Main Event,Angela Hill,Hannah Cifers,,
Light Heavyweight,Jamahal Hill,def,Darko Stošić,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00,,Main Card (ESPN+),,https://en.wikipedia.org/wiki/Darko_Sto%C5%A1i%C4%87,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Blaydes_vs._dos_Santos,5,Unanimous Decision,Main Event,Jamahal Hill,Darko Stošić,,
