fighter1,fighter2,fight_odds_url,Bet,5Dimes_win,Bet365_win,BetDSI_win,BetOnline_win,BookMaker_win,Bovada_win,Intertops_win,Pinnacle_win,SportBet_win,SportsInt_win,Sportsbook_win,William_H_win,meanodds_win,Winner_Cleaned,Loser_Cleaned,wiki_url,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,Card_Date,#,Event,bet_won,5Dimes_lose,BetDSI_lose,BookMaker_lose,SportBet_lose,Bet365_lose,Bovada_lose,Sportsbook_lose,William_H_lose,Pinnacle_lose,SportsInt_lose,BetOnline_lose,Intertops_lose,meanodds_lose
Ben Saunders,Patrick Cote,https://www.bestfightodds.com/events/ufc-fight-night-81-dillashaw-vs-cruz-1022,Patrick Cote,2.1,,2.0,1.99009900990099,2.0,1.9090909090909092,,2.0700000000000003,2.08,1.9523809523809523,1.8695652173913042,,1.996792898751573,Patrick Côté,Ben Saunders,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dillashaw_vs._Cruz,Patrick Cote,Ben Saunders,Welterweight,Patrick Côté,def,Ben Saunders,TKO (punches),2.0,1:14,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Patrick_C%C3%B4t%C3%A9_(fighter),https://en.wikipedia.org/wiki/Ben_Saunders_(fighter),5,KO,Prelim,,,2016-01-17,346,UFC Fight Night: Dillashaw vs. Cruz,1,1.8333333333333335,1.8333333333333335,1.8333333333333335,1.819672131147541,,1.8333333333333335,1.8695652173913042,,1.8333333333333335,1.8,1.8403361344537816,,1.8329155721843664
Ben Saunders,Peter Sobotta,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265,Peter Sobotta,1.8695652173913042,,1.8620689655172413,1.8333333333333335,1.8620689655172413,1.8333333333333335,,1.8695652173913042,1.8928571428571428,1.8695652173913042,1.9090909090909092,2.0,1.8801448301823114,Peter Sobotta,Ben Saunders,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Teixeira,Peter Sobotta,Ben Saunders,Welterweight,Peter Sobotta,def,Ben Saunders,TKO (punches and knee),2.0,2:29,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Peter_Sobotta,https://en.wikipedia.org/wiki/Ben_Saunders_(fighter),3,KO,Main Event,,,2017-05-28,398,UFC Fight Night: Gustafsson vs. Teixeira,1,1.9523809523809523,1.8771929824561404,1.8771929824561404,1.9803921568627452,,1.9090909090909092,1.8333333333333335,1.8,2.02,1.8695652173913042,2.0,,1.9119148533971526
Ben Saunders,Ryan Thomas,https://www.bestfightodds.com/search?query=UFC%2087%3A%20Seek%20and%20Destroy,Ben Saunders,1.3703703703703702,,,,1.4,1.3846153846153846,,1.3831417624521074,,1.33003300330033,1.4166666666666667,,1.380804531234143,Ben Saunders,Ryan Thomas,https://en.wikipedia.org/wiki/UFC_87,Ben Saunders,Ryan Thomas,Welterweight,Ben Saunders,def,Ryan Thomas,Submission (armbar),2.0,2:28,,Preliminary card,https://en.wikipedia.org/wiki/Ben_Saunders_(fighter),https://en.wikipedia.org/wiki/Ryan_Thomas_(fighter),10,Sub,Prelim,,,2008-08-09,114,UFC 87: Seek and Destroy,1,3.3,,3.0,,,3.0,2.9,,3.41,3.0,,,3.1016666666666666
Ben Saunders,Sergio Moraes,https://www.bestfightodds.com/events/ufc-fight-night-137-santos-vs-anders-1544,Sergio Moraes,1.3773584905660377,,1.3571428571428572,1.3773584905660377,1.3448275862068966,1.3508771929824561,1.3333333333333333,1.3663003663003663,1.3717472118959106,1.3508771929824561,1.3333333333333333,1.3597122302158273,1.3566243895932284,Sérgio Moraes,Ben Saunders,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Anders,Sergio Moraes,Ben Saunders,Welterweight,Sérgio Moraes,def,Ben Saunders,Submission (arm-triangle choke),2.0,4:42,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/S%C3%A9rgio_Moraes,https://en.wikipedia.org/wiki/Ben_Saunders_(fighter),10,Sub,Prelim,,,2018-09-22,452,UFC Fight Night: Santos vs. Anders,1,3.45,3.25,3.4,3.41,,3.25,3.35,3.1,3.36,3.1,3.25,3.25,3.2881818181818185
Ben Saunders,Takashi Sato,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657,Takashi Sato,1.5,1.4694835680751175,1.4901960784313726,1.4878048780487805,1.4651162790697674,1.4761904761904763,1.4545454545454546,1.5128205128205128,1.4878048780487805,1.4761904761904763,1.4761904761904763,1.4405286343612334,1.4780726426643707,Takashi Sato,Ben Saunders,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Jacar%C3%A9_vs._Hermansson,Takashi Sato,Ben Saunders,Welterweight,Takashi Sato,def,Ben Saunders,TKO (elbows and punches),2.0,1:18,,Preliminary card (ESPN),,https://en.wikipedia.org/wiki/Ben_Saunders_(fighter),7,KO,Prelim,,,2019-04-27,476,UFC Fight Night: Jacaré vs. Hermansson,1,2.85,2.7199999999999998,2.7,2.8,2.75,2.7,2.7,2.75,2.7199999999999998,2.6,2.75,2.7,2.7283333333333335
Ben Sosoli,Greg Hardy,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764,Greg Hardy,1.3225806451612903,1.3003003003003002,1.2702702702702702,1.2985074626865671,1.3125,1.2985074626865671,1.303030303030303,1.3076923076923077,1.3215434083601285,1.3278688524590163,1.303030303030303,1.33003300330033,1.3079886932481153,Greg Hardy,Ben Sosoli,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Reyes_vs._Weidman,Greg Hardy,Ben Sosoli,Heavyweight,Greg Hardy,vs,Ben Sosoli,No Contest (overturned),3.0,5:00,"Originally a unanimous decision (29–28, 29–28, 29–28) win for Hardy; overturned after he used an inhaler between rounds 2 and 3.[12]",Main Card (ESPN2),https://en.wikipedia.org/wiki/Greg_Hardy,,3,,Main Event,,,2019-10-18,498,UFC on ESPN: Reyes vs. Weidman,1,3.8,3.59,3.4,3.69,3.5,3.55,3.5,3.3,3.61,3.2,3.75,3.4,3.5241666666666664
Ben Sosoli,Marcos Rogerio de Lima,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,Marcos Rogerio de Lima,1.6896551724137931,,1.62111801242236,1.6451612903225805,1.6666666666666665,1.6451612903225805,1.6666666666666665,1.6451612903225805,1.6802721088435373,1.6451612903225805,1.6666666666666665,,1.657169045497001,Marcos Rogério de Lima,Ben Sosoli,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Marcos Rogerio de Lima,Ben Sosoli,Heavyweight,Marcos Rogério de Lima,def,Ben Sosoli,TKO (punches),1.0,1:28,,Main card (ESPN+),https://en.wikipedia.org/wiki/Marcos_Rog%C3%A9rio_de_Lima,,4,KO,Main Event,,,2020-02-23,510,UFC Fight Night: Felder vs. Hooker,1,2.35,2.33,2.2,2.33,,2.25,2.2,,2.37,2.2,2.35,2.2,2.278
Ben Wall,Justin Salas,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794,Justin Salas,1.3773584905660377,,1.3636363636363638,1.3703703703703702,1.3610108303249098,1.3508771929824561,,1.3597122302158273,1.3717472118959106,1.3636363636363638,1.3571428571428572,,1.363943545641233,Justin Salas,Ben Wall,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Brown_vs._Silva,Justin Salas,Ben Wall,Lightweight,Justin Salas,def,Ben Wall,KO (punches),1.0,2:41,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Justin_Salas,,12,KO,Prelim,,,2014-05-10,272,UFC Fight Night: Brown vs. Silva,1,3.45,3.27,3.28,3.41,,3.25,3.17,,3.46,3.08,3.3,,3.2966666666666664
Beneil Dariush,Carlos Diego Ferreira,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855,Beneil Dariush,2.9,,2.8,2.9,2.8,2.8,,2.88,2.8600000000000003,2.8,2.7,,2.826666666666666,Beneil Dariush,Carlos Diego Ferreira,https://en.wikipedia.org/wiki/UFC_179,Beneil Dariush,Carlos Diego Ferreira,Lightweight,Beneil Dariush,def,Carlos Diego Ferreira,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Beneil_Dariush,https://en.wikipedia.org/wiki/Carlos_Diego_Ferreira,5,Unanimous Decision,Main Event,,,2014-10-25,295,UFC 179: Aldo vs. Mendes 2,1,1.4761904761904763,1.4651162790697674,1.4651162790697674,1.4672897196261683,,1.434782608695652,1.4761904761904763,,1.4761904761904763,1.4201680672268908,1.4444444444444444,,1.458387647411569
Beneil Dariush,Charlie Brenneman,https://www.bestfightodds.com/events/ufc-fight-night-35-rockhold-vs-philippou-762,Beneil Dariush,2.6,,2.5,2.45,2.5,2.5,,2.5300000000000002,2.58,2.55,2.55,,2.528888888888889,Beneil Dariush,Charlie Brenneman,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Philippou,Beneil Dariush,Charlie Brenneman,Lightweight,Beneil Dariush,def,Charlie Brenneman,Submission (rear-naked choke),1.0,1:45,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Beneil_Dariush,https://en.wikipedia.org/wiki/Charlie_Brenneman,12,Sub,Prelim,,,2014-01-15,259,UFC Fight Night: Rockhold vs. Philippou,1,1.5882352941176472,1.5714285714285714,1.5714285714285714,1.5813953488372094,,1.5405405405405406,1.5405405405405406,,1.5882352941176472,1.4504504504504505,1.5714285714285714,,1.555964798098861
