#,Event,Date,Venue,Location,Attendance,url,fight_odds_url
490,UFC 241: Cormier vs. Miocic 2,2019-08-17,Honda Center,"Anaheim, California, U.S.","17,304",https://en.wikipedia.org/wiki/UFC_241,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
489,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,Antel Arena,"Montevideo, Uruguay","9,225",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Shevchenko_vs._Carmouche_2,https://www.bestfightodds.com/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724
488,UFC on ESPN: Covington vs. Lawler,2019-08-03,Prudential Center,"Newark, New Jersey, U.S.","10,427",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Covington_vs._Lawler,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
487,UFC 240: Holloway vs. Edgar,2019-07-27,Rogers Place,"Edmonton, Alberta, Canada","12,144",https://en.wikipedia.org/wiki/UFC_240,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
486,UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,AT&T Center,"San Antonio, Texas, U.S.","9,255",https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Edwards,https://www.bestfightodds.com/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717
485,UFC Fight Night: de Randamie vs. Ladd,2019-07-13,Golden 1 Center,"Sacramento, California, U.S.","10,306",https://en.wikipedia.org/wiki/UFC_Fight_Night:_de_Randamie_vs._Ladd,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
484,UFC 239: Jones vs. Santos,2019-07-06,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,358",https://en.wikipedia.org/wiki/UFC_239,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
483,UFC on ESPN: Ngannou vs. dos Santos,2019-06-29,Target Center,"Minneapolis, Minnesota, U.S.","10,123",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Ngannou_vs._dos_Santos,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
482,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,Bon Secours Wellness Arena,"Greenville, South Carolina, U.S.","7,682",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Moicano_vs._The_Korean_Zombie,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
481,UFC 238: Cejudo vs. Moraes,2019-06-08,United Center,"Chicago, Illinois, U.S.","16,083",https://en.wikipedia.org/wiki/UFC_238,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
480,UFC Fight Night: Gustafsson vs. Smith,2019-06-01,Ericsson Globe,"Stockholm, Sweden","14,319",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Smith,https://www.bestfightodds.com/events/ufc-on-espn-11-gustafsson-vs-smith-1676
479,UFC Fight Night: dos Anjos vs. Lee,2019-05-18,Blue Cross Arena,"Rochester, New York, U.S.","8,132",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Anjos_vs._Lee,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
478,UFC 237: Namajunas vs. Andrade,2019-05-11,Jeunesse Arena,"Rio de Janeiro, Brazil","15,193",https://en.wikipedia.org/wiki/UFC_237,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
477,UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,Canadian Tire Centre,"Ottawa, Ontario, Canada","10,960",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Iaquinta_vs._Cowboy,https://www.bestfightodds.com/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672
476,UFC Fight Night: Jacaré vs. Hermansson,2019-04-27,BB&T Center,"Sunrise, Florida, U.S.","12,754",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Jacar%C3%A9_vs._Hermansson,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
475,UFC Fight Night: Overeem vs. Oleinik,2019-04-20,Yubileyny Sports Palace,"Saint Petersburg, Russia","7,236",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Oleinik,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
474,UFC 236: Holloway vs. Poirier 2,2019-04-13,State Farm Arena,"Atlanta, Georgia, U.S.","14,297",https://en.wikipedia.org/wiki/UFC_236,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
473,UFC on ESPN: Barboza vs. Gaethje,2019-03-30,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.","11,123",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Barboza_vs._Gaethje,https://www.bestfightodds.com/events/ufc-on-espn-2-barboza-vs-gaethje-1648
472,UFC Fight Night: Thompson vs. Pettis,2019-03-23,Bridgestone Arena,"Nashville, Tennessee, U.S.","10,863",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Thompson_vs._Pettis,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
471,UFC Fight Night: Till vs. Masvidal,2019-03-16,The O2 Arena,"London, England, U.K.","16,602",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Till_vs._Masvidal,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
