#,Event,Date,Venue,Location,Attendance,url,fight_odds_url
411,UFC Fight Night: Rockhold vs. Branch,2017-09-16,PPG Paints Arena,"Pittsburgh, Pennsylvania, U.S.","7,005",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rockhold_vs._Branch,https://www.bestfightodds.com/events/ufc-fight-night-116-rockhold-vs-branch-1343
410,UFC 215: Nunes vs. Shevchenko 2,2017-09-09,Rogers Place,"Edmonton, Alberta, Canada","16,232",https://en.wikipedia.org/wiki/UFC_215,https://www.bestfightodds.com/events/ufc-215-nunes-vs-shevchenko-2-1308
409,UFC Fight Night: Volkov vs. Struve,2017-09-02,Rotterdam Ahoy,"Rotterdam, Netherlands","10,224",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Struve,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
408,UFC Fight Night: Pettis vs. Moreno,2017-08-05,Arena Ciudad de México,"Mexico City, Mexico","10,172",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Pettis_vs._Moreno,https://www.bestfightodds.com/events/ufc-fight-night-114-pettis-vs-moreno-1307
407,UFC 214: Cormier vs. Jones 2,2017-07-29,Honda Center,"Anaheim, California, U.S.","16,610",https://en.wikipedia.org/wiki/UFC_214,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
406,UFC on Fox: Weidman vs. Gastelum,2017-07-22,Nassau Veterans Memorial Coliseum,"Uniondale, New York, U.S.","11,198",https://en.wikipedia.org/wiki/UFC_on_Fox:_Weidman_vs._Gastelum,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
405,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,The SSE Hydro,"Glasgow, Scotland, U.K.","10,589",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nelson_vs._Ponzinibbio,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
404,UFC 213: Romero vs. Whittaker,2017-07-08,T-Mobile Arena,"Las Vegas, Nevada, U.S.","12,834",https://en.wikipedia.org/wiki/UFC_213,https://www.bestfightodds.com/events/ufc-213-romero-vs-whittaker-1282
403,The Ultimate Fighter: Redemption Finale,2017-07-07,T-Mobile Arena,"Las Vegas, Nevada, U.S.","6,308",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Redemption#The_Ultimate_Fighter_25_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
402,UFC Fight Night: Chiesa vs. Lee,2017-06-25,Chesapeake Energy Arena,"Oklahoma City, Oklahoma, U.S.","7,605",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Chiesa_vs._Lee,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
401,UFC Fight Night: Holm vs. Correia,2017-06-17,Singapore Indoor Stadium,"Kallang, Singapore","8,414",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Correia,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
400,UFC Fight Night: Lewis vs. Hunt,2017-06-11,Spark Arena,"Auckland, New Zealand","8,649",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Hunt,https://www.bestfightodds.com/events/ufc-fight-night-110-lewis-vs-hunt-1275
399,UFC 212: Aldo vs. Holloway,2017-06-03,Jeunesse Arena,"Rio de Janeiro, Brazil","15,412",https://en.wikipedia.org/wiki/UFC_212,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
398,UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,Ericsson Globe,"Stockholm, Sweden","12,668",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Teixeira,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
397,UFC 211: Miocic vs. dos Santos 2,2017-05-13,American Airlines Center,"Dallas, Texas, U.S.","17,834",https://en.wikipedia.org/wiki/UFC_211,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
396,UFC Fight Night: Swanson vs. Lobov,2017-04-22,Bridgestone Arena,"Nashville, Tennessee, U.S.","10,144",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Swanson_vs._Lobov,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
395,UFC on Fox: Johnson vs. Reis,2017-04-15,Sprint Center,"Kansas City, Missouri, U.S.","12,171",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Reis,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
394,UFC 210: Cormier vs. Johnson 2,2017-04-08,KeyBank Center,"Buffalo, New York, U.S.","17,110",https://en.wikipedia.org/wiki/UFC_210,https://www.bestfightodds.com/events/ufc-210-cormier-vs-johnson-2-1248
393,UFC Fight Night: Manuwa vs. Anderson,2017-03-18,The O2 Arena,"London, England, U.K.","15,761",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
392,UFC Fight Night: Belfort vs. Gastelum,2017-03-11,Centro de Formação Olímpica do Nordeste,"Fortaleza, Brazil","14,069",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum,https://www.bestfightodds.com/events/ufc-fight-night-106-belfort-vs-gastelum-1231
391,UFC 209: Woodley vs. Thompson 2,2017-03-04,T-Mobile Arena,"Las Vegas, Nevada, U.S.","13,150",https://en.wikipedia.org/wiki/UFC_209,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
390,UFC Fight Night: Lewis vs. Browne,2017-02-19,Scotiabank Centre,"Halifax, Nova Scotia, Canada","8,123",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Browne,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
389,UFC 208: Holm vs. de Randamie,2017-02-11,Barclays Center,"Brooklyn, New York, U.S.","15,628",https://en.wikipedia.org/wiki/UFC_208,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
388,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,Toyota Center,"Houston, Texas, U.S.","8,119",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bermudez_vs._The_Korean_Zombie,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
387,UFC on Fox: Shevchenko vs. Peña,2017-01-28,Pepsi Center,"Denver, Colorado, U.S.","13,233",https://en.wikipedia.org/wiki/UFC_on_Fox:_Shevchenko_vs._Pe%C3%B1a,https://www.bestfightodds.com/events/ufc-on-fox-23-shevchenko-vs-pena-1225
386,UFC Fight Night: Rodríguez vs. Penn,2017-01-15,Talking Stick Resort Arena,"Phoenix, Arizona, U.S.","11,589",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Penn,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
385,UFC 207: Nunes vs. Rousey,2016-12-30,T-Mobile Arena,"Las Vegas, Nevada, U.S.","18,533",https://en.wikipedia.org/wiki/UFC_207,https://www.bestfightodds.com/events/ufc-207-nunes-vs-rousey-1210
384,UFC on Fox: VanZant vs. Waterson,2016-12-17,Golden 1 Center,"Sacramento, California, U.S.","13,136",https://en.wikipedia.org/wiki/UFC_on_Fox:_VanZant_vs._Waterson,https://www.bestfightodds.com/events/ufc-on-fox-22-vanzant-vs-waterson-1207
383,UFC 206: Holloway vs. Pettis,2016-12-10,Scotiabank Arena,"Toronto, Ontario, Canada","18,057",https://en.wikipedia.org/wiki/UFC_206,https://www.bestfightodds.com/events/ufc-206-holloway-vs-pettis-1204
382,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,Times Union Center,"Albany, New York, U.S.","6,216",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Abdurakhimov,https://www.bestfightodds.com/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203
381,The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,Palms Casino Resort,"Las Vegas, Nevada, U.S.","2,044",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Tournament_of_Champions#The_Ultimate_Fighter_24_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-24-finale-1135
380,UFC Fight Night: Whittaker vs. Brunson,2016-11-27,Rod Laver Arena,"Melbourne, Australia","13,721",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Whittaker_vs._Brunson,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
379,UFC Fight Night: Bader vs. Nogueira 2,2016-11-19,Ginásio do Ibirapuera,"São Paulo, Brazil","9,028",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bader_vs._Nogueira_2,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
378,UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,The SSE Arena,"Belfast, Northern Ireland, U.K.","7,222",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mousasi_vs._Hall_2,https://www.bestfightodds.com/events/ufc-fight-night-99-mousasi-vs-hall-2-1184
377,UFC 205: Alvarez vs. McGregor,2016-11-12,Madison Square Garden,"New York City, New York, U.S.","20,427",https://en.wikipedia.org/wiki/UFC_205,https://www.bestfightodds.com/events/ufc-205-alvarez-vs-mcgregor-1188
376,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,2016-11-05,Arena Ciudad de México,"Mexico City, Mexico","11,460",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Latin_America_3#The_Ultimate_Fighter_Latin_America_3_Finale:_dos_Anjos_vs._Ferguson,https://www.bestfightodds.com/events/ufc-fight-night-98-dos-anjos-vs-ferguson-1164
375,UFC 204: Bisping vs. Henderson 2,2016-10-08,Manchester Arena,"Manchester, England, U.K.","16,000",https://en.wikipedia.org/wiki/UFC_204,https://www.bestfightodds.com/events/ufc-204-bisping-vs-henderson-2-1168
374,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Moda Center,"Portland, Oregon, U.S.","6,240",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lineker_vs._Dodson,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
373,UFC Fight Night: Cyborg vs. Länsberg,2016-09-24,Ginásio Nilson Nelson,"Brasília, Brazil","8,410",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cyborg_vs._L%C3%A4nsberg,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
372,UFC Fight Night: Poirier vs. Johnson,2016-09-17,State Farm Arena,"Hidalgo, Texas, U.S.","5,624",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Poirier_vs._Johnson,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
371,UFC 203: Miocic vs. Overeem,2016-09-10,Quicken Loans Arena,"Cleveland, Ohio, U.S.","18,875",https://en.wikipedia.org/wiki/UFC_203,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
370,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,Barclaycard Arena,"Hamburg, Germany","11,763",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Arlovski_vs._Barnett,https://www.bestfightodds.com/events/ufc-fight-night-93-arlovski-vs-barnett-1139
369,UFC on Fox: Maia vs. Condit,2016-08-27,Rogers Arena,"Vancouver, British Columbia, Canada","10,533",https://en.wikipedia.org/wiki/UFC_on_Fox:_Maia_vs._Condit,https://www.bestfightodds.com/events/ufc-on-fox-21-maia-vs-condit-1150
368,UFC 202: Diaz vs. McGregor 2,2016-08-20,T-Mobile Arena,"Las Vegas, Nevada, U.S","15,539",https://en.wikipedia.org/wiki/UFC_202,https://www.bestfightodds.com/events/ufc-202-diaz-vs-mcgregor-2-1143
367,UFC Fight Night: Rodríguez vs. Caceres,2016-08-06,Vivint Smart Home Arena,"Salt Lake City, Utah, U.S.","6,689",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Caceres,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
366,UFC 201: Lawler vs. Woodley,2016-07-30,Philips Arena,"Atlanta, Georgia, U.S.","10,240",https://en.wikipedia.org/wiki/UFC_201,https://www.bestfightodds.com/events/ufc-201-lawler-vs-woodley-1129
365,UFC on Fox: Holm vs. Shevchenko,2016-07-23,United Center,"Chicago, Illinois, U.S.","10,287",https://en.wikipedia.org/wiki/UFC_on_Fox:_Holm_vs._Shevchenko,https://www.bestfightodds.com/events/ufc-on-fox-20-holm-vs-shevchenko-1114
364,UFC Fight Night: McDonald vs. Lineker,2016-07-13,Denny Sanford Premier Center,"Sioux Falls, South Dakota, U.S.","5,671",https://en.wikipedia.org/wiki/UFC_Fight_Night:_McDonald_vs._Lineker,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
363,UFC 200: Tate vs. Nunes,2016-07-09,T-Mobile Arena,"Las Vegas, Nevada, U.S","18,202",https://en.wikipedia.org/wiki/UFC_200,https://www.bestfightodds.com/events/ufc-200-tate-vs-nunes-1102
362,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","8,115",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
361,UFC Fight Night: dos Anjos vs. Alvarez,2016-07-07,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","7,760",https://en.wikipedia.org/wiki/UFC_Fight_Night:_dos_Anjos_vs._Alvarez,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
360,UFC Fight Night: MacDonald vs. Thompson,2016-06-18,TD Place Arena,"Ottawa, Ontario, Canada","10,490",https://en.wikipedia.org/wiki/UFC_Fight_Night:_MacDonald_vs._Thompson,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
359,UFC 199: Rockhold vs. Bisping 2,2016-06-04,The Forum,"Inglewood, California, U.S.","15,587",https://en.wikipedia.org/wiki/UFC_199,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
358,UFC Fight Night: Almeida vs. Garbrandt,2016-05-29,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.","5,193",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Almeida_vs._Garbrandt,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
357,UFC 198: Werdum vs. Miocic,2016-05-14,Arena da Baixada,"Curitiba, Brazil","45,207",https://en.wikipedia.org/wiki/UFC_198,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
356,UFC Fight Night: Overeem vs. Arlovski,2016-05-08,Rotterdam Ahoy,"Rotterdam, Netherlands","10,421",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Overeem_vs._Arlovski,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
355,UFC 197: Jones vs. Saint Preux,2016-04-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","11,352",https://en.wikipedia.org/wiki/UFC_197,https://www.bestfightodds.com/events/ufc-197-jones-vs-saint-preux-1080
354,UFC on Fox: Teixeira vs. Evans,2016-04-16,Amalie Arena,"Tampa, Florida, U.S.","11,273",https://en.wikipedia.org/wiki/UFC_on_Fox:_Teixeira_vs._Evans,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
353,UFC Fight Night: Rothwell vs. dos Santos,2016-04-10,Arena Zagreb,"Zagreb, Croatia","13,177",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Rothwell_vs._dos_Santos,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
352,UFC Fight Night: Hunt vs. Mir,2016-03-20,Brisbane Entertainment Centre,"Brisbane, Australia","9,552",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hunt_vs._Mir,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
351,UFC 196: McGregor vs. Diaz,2016-03-05,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","14,898",https://en.wikipedia.org/wiki/UFC_196,https://www.bestfightodds.com/events/ufc-196-mcgregor-vs-diaz-1060
350,UFC Fight Night: Silva vs. Bisping,2016-02-27,The O2 Arena,"London, England, U.K.","16,734",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Silva_vs._Bisping,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
349,UFC Fight Night: Cowboy vs. Cowboy,2016-02-21,Consol Energy Center,"Pittsburgh, Pennsylvania, U.S.","7,330",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Cowboy_vs._Cowboy,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
348,UFC Fight Night: Hendricks vs. Thompson,2016-02-06,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","7,422",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hendricks_vs._Thompson,https://www.bestfightodds.com/events/ufc-fight-night-82-hendricks-vs-thompson-1056
347,UFC on Fox: Johnson vs. Bader,2016-01-30,Prudential Center,"Newark, New Jersey, U.S.","10,555",https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Bader,https://www.bestfightodds.com/events/ufc-on-fox-18-johnson-vs-bader-1038
346,UFC Fight Night: Dillashaw vs. Cruz,2016-01-17,TD Garden,"Boston, Massachusetts, U.S.","12,022",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dillashaw_vs._Cruz,https://www.bestfightodds.com/events/ufc-fight-night-81-dillashaw-vs-cruz-1022
345,UFC 195: Lawler vs. Condit,2016-01-02,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,300",https://en.wikipedia.org/wiki/UFC_195,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
344,UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,Amway Center,"Orlando, Florida, U.S.","14,459",https://en.wikipedia.org/wiki/UFC_on_Fox:_dos_Anjos_vs._Cowboy_2,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
343,UFC 194: Aldo vs. McGregor,2015-12-12,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","16,516",https://en.wikipedia.org/wiki/UFC_194,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
342,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, U.S.","2,566",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-22-finale-edgar-vs-mendes-1011
341,UFC Fight Night: Namajunas vs. VanZant,2015-12-10,The Chelsea at The Cosmopolitan,"Las Vegas, Nevada, U.S.","1,643",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Namajunas_vs._VanZant,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
340,UFC Fight Night: Henderson vs. Masvidal,2015-11-28,Olympic Gymnastics Arena,"Seoul, South Korea","12,156",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._Masvidal,https://www.bestfightodds.com/events/ufc-fight-night-79-henderson-vs-masvidal-1013
339,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,2015-11-21,Arena Monterrey,"Monterrey, Mexico","10,410",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Latin_America_2#The_Ultimate_Fighter_Latin_America_2_Finale:_Magny_vs._Gastelum,https://www.bestfightodds.com/events/ufc-fight-night-78-magny-vs-gastelum-999
338,UFC 193: Rousey vs. Holm,2015-11-15,Etihad Stadium,"Melbourne, Australia","56,214",https://en.wikipedia.org/wiki/UFC_193,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
337,UFC Fight Night: Belfort vs. Henderson 3,2015-11-07,Ginásio do Ibirapuera,"São Paulo, Brazil","10,628",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson_3,https://www.bestfightodds.com/events/ufc-fight-night-77-belfort-vs-henderson-3-997
336,UFC Fight Night: Holohan vs. Smolka,2015-10-24,3Arena,"Dublin, Ireland","9,500",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holohan_vs._Smolka,https://www.bestfightodds.com/events/ufc-fight-night-76-holohan-vs-smolka-976
335,UFC 192: Cormier vs. Gustafsson,2015-10-03,Toyota Center,"Houston, Texas, U.S.","14,622",https://en.wikipedia.org/wiki/UFC_192,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
334,UFC Fight Night: Barnett vs. Nelson,2015-09-27,Saitama Super Arena,"Saitama, Japan","10,137",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Barnett_vs._Nelson,https://www.bestfightodds.com/events/ufc-fight-night-75-nelson-vs-barnett-1003
333,UFC 191: Johnson vs. Dodson 2,2015-09-05,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","10,873",https://en.wikipedia.org/wiki/UFC_191,https://www.bestfightodds.com/events/ufc-191-johnson-vs-dodson-ii-992
332,UFC Fight Night: Holloway vs. Oliveira,2015-08-23,SaskTel Centre,"Saskatoon, Saskatchewan, Canada","7,202",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._Oliveira,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
331,UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08,Bridgestone Arena,"Nashville, Tennessee, U.S.","7,539",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Teixeira_vs._Saint_Preux,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
330,UFC 190: Rousey vs. Correia,2015-08-01,HSBC Arena,"Rio de Janeiro, Brazil","14,723",https://en.wikipedia.org/wiki/UFC_190,https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960
329,UFC on Fox: Dillashaw vs. Barão 2,2015-07-25,United Center,"Chicago, Illinois, U.S.","11,663",https://en.wikipedia.org/wiki/UFC_on_Fox:_Dillashaw_vs._Bar%C3%A3o_2,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
328,UFC Fight Night: Bisping vs. Leites,2015-07-18,The SSE Hydro,"Glasgow, Scotland, U.K.","10,451",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bisping_vs._Leites,https://www.bestfightodds.com/events/ufc-fight-night-72-bisping-vs-leites-975
327,UFC Fight Night: Mir vs. Duffee,2015-07-15,Valley View Casino Center,"San Diego, California, U.S.","5,471",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mir_vs._Duffee,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
326,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","4,844",https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-21-finale-ellenberger-vs-thompson-971
325,UFC 189: Mendes vs. McGregor,2015-07-11,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","16,019",https://en.wikipedia.org/wiki/UFC_189,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
324,UFC Fight Night: Machida vs. Romero,2015-06-27,Seminole Hard Rock Hotel and Casino,"Hollywood, Florida, U.S.","5,604",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Machida_vs._Romero,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
323,UFC Fight Night: Jędrzejczyk vs. Penne,2015-06-20,O2 World,"Berlin, Germany","8,155",https://en.wikipedia.org/wiki/UFC_Fight_Night:_J%C4%99drzejczyk_vs._Penne,https://www.bestfightodds.com/events/ufc-fight-night-69-jedrzejczyk-vs-penne-964
322,UFC 188: Velasquez vs. Werdum,2015-06-13,Arena Ciudad de México,"Mexico City, Mexico","21,036",https://en.wikipedia.org/wiki/UFC_188,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
321,UFC Fight Night: Boetsch vs. Henderson,2015-06-06,Smoothie King Center,"New Orleans, Louisiana, U.S.","6,231",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Boetsch_vs._Henderson,https://www.bestfightodds.com/events/ufc-fight-night-68-henderson-vs-boetsch-947
320,UFC Fight Night: Condit vs. Alves,2015-05-30,Goiânia Arena,"Goiânia, Brazil","3,500",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Condit_vs._Alves,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
319,UFC 187: Johnson vs. Cormier,2015-05-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.","12,615",https://en.wikipedia.org/wiki/UFC_187,https://www.bestfightodds.com/events/ufc-187-johnson-vs-cormier-945
318,UFC Fight Night: Edgar vs. Faber,2015-05-16,Mall of Asia Arena,"Pasay, Philippines","13,446",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Edgar_vs._Faber,https://www.bestfightodds.com/events/ufc-fight-night-66-edgar-vs-faber-946
317,UFC Fight Night: Miocic vs. Hunt,2015-05-10,Adelaide Entertainment Centre,"Adelaide, Australia","7,984",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Miocic_vs._Hunt,https://www.bestfightodds.com/events/ufc-fight-night-65-hunt-vs-miocic-950
316,UFC 186: Johnson vs. Horiguchi,2015-04-25,Bell Centre,"Montreal, Quebec, Canada","10,154",https://en.wikipedia.org/wiki/UFC_186,https://www.bestfightodds.com/events/ufc-186-johnson-vs-horiguchi-929
315,UFC on Fox: Machida vs. Rockhold,2015-04-18,Prudential Center,"Newark, New Jersey, U.S.","13,306",https://en.wikipedia.org/wiki/UFC_on_Fox:_Machida_vs._Rockhold,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
314,UFC Fight Night: Gonzaga vs. Cro Cop 2,2015-04-11,Tauron Arena Kraków,"Kraków, Poland","10,000",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gonzaga_vs._Cro_Cop_2,https://www.bestfightodds.com/events/ufc-fight-night-64-gonzaga-vs-cro-cop-ii-936
313,UFC Fight Night: Mendes vs. Lamas,2015-04-04,Patriot Center,"Fairfax, Virginia, U.S.","5,417",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mendes_vs._Lamas,https://www.bestfightodds.com/events/ufc-fight-night-63-mendes-vs-lamas-932
312,UFC Fight Night: Maia vs. LaFlare,2015-03-21,Ginásio do Maracanãzinho,"Rio de Janeiro, Brazil","7,707",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maia_vs._LaFlare,https://www.bestfightodds.com/events/ufc-fight-night-62-maia-vs-laflare-934
311,UFC 185: Pettis vs. dos Anjos,2015-03-14,American Airlines Center,"Dallas, Texas, U.S.","17,160",https://en.wikipedia.org/wiki/UFC_185,https://www.bestfightodds.com/events/ufc-185-pettis-vs-dos-anjos-925
310,UFC 184: Rousey vs. Zingano,2015-02-28,Staples Center,"Los Angeles, California, U.S.","17,654",https://en.wikipedia.org/wiki/UFC_184,https://www.bestfightodds.com/events/ufc-184-rousey-vs-zingano-896
