Winner_Cleaned,Loser_Cleaned,wiki_url,fighter1,fighter2,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,fight_odds_url,Card_Date,#,Event
Charles Oliveira,Kevin Lee,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Charles Oliveira,Kevin Lee,Charles Oliveira,Kevin Lee,Catchweight (158.5 lbs),Charles Oliveira,def,Kevin Lee,Submission (guillotine choke),3.0,0:28,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Charles_Oliveira,https://en.wikipedia.org/wiki/Kevin_Lee_(fighter),1,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Francisco Trinaldo,John Makdessi,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Francisco Trinaldo,John Makdessi,Francisco Trinaldo,John Makdessi,Lightweight,Francisco Trinaldo,def,John Makdessi,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Francisco_Trinaldo,https://en.wikipedia.org/wiki/John_Makdessi,5,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Brandon Moreno,Jussier Formiga,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Brandon Moreno,Jussier Formiga,Brandon Moreno,Jussier Formiga,Flyweight,Brandon Moreno,def,Jussier Formiga,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Brandon_Moreno,https://en.wikipedia.org/wiki/Jussier_Formiga,6,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Amanda Ribas,Randa Markos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Amanda Ribas,Randa Markos,Amanda Ribas,Randa Markos,Women's Strawweight,Amanda Ribas,def,Randa Markos,"Decision (unanimous) (30–26, 30–25, 30–25)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Amanda_Ribas,https://en.wikipedia.org/wiki/Randa_Markos,7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Enrique Barzola,Rani Yahya,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Enrique Barzola,Rani Yahya,Enrique Barzola,Rani Yahya,Bantamweight,Enrique Barzola,vs,Rani Yahya,"Draw (majority) (29–28, 28–28, 28–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Enrique_Barzola,https://en.wikipedia.org/wiki/Rani_Yahya,9,,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Maryna Moroz,Mayra Bueno Silva,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Maryna Moroz,Mayra Bueno Silva,Maryna Moroz,Mayra Bueno Silva,Women's Flyweight,Maryna Moroz,def,Mayra Bueno Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Maryna_Moroz,,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Bea Malecki,Veronica Macedo,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Bea Malecki,Veronica Macedo,Bea Malecki,Veronica Macedo,Women's Bantamweight,Bea Malecki,def,Veronica Macedo,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),,https://en.wikipedia.org/wiki/Veronica_Macedo,12,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Gilbert Burns,Demian Maia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Demian Maia,Gilbert Burns,Gilbert Burns,Demian Maia,Welterweight,Gilbert Burns,def,Demian Maia,TKO (punches),1.0,2:34,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Gilbert_Burns_(fighter),https://en.wikipedia.org/wiki/Demian_Maia,2,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Renato Moicano,Damir Hadžović,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Damir Hadzovic,Renato Moicano,Renato Moicano,Damir Hadzovic,Lightweight,Renato Moicano,def,Damir Hadžović,Submission (rear-naked choke),1.0,0:44,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Renato_Moicano,https://en.wikipedia.org/wiki/Damir_Had%C5%BEovi%C4%87,3,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Nikita Krylov,Johnny Walker,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Johnny Walker,Nikita Krylov,Nikita Krylov,Johnny Walker,Light Heavyweight,Nikita Krylov,def,Johnny Walker,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Main card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Nikita_Krylov,https://en.wikipedia.org/wiki/Johnny_Walker_(fighter),4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Elizeu Zaleski dos Santos,Alexey Kunchenko,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Aleksei Kunchenko,Elizeu Zaleski Dos Santos,Elizeu Zaleski Dos Santos,Aleksei Kunchenko,Welterweight,Elizeu Zaleski dos Santos,def,Alexey Kunchenko,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),https://en.wikipedia.org/wiki/Elizeu_Zaleski_dos_Santos,https://en.wikipedia.org/wiki/Alexey_Kunchenko,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
David Dvořák,Bruno Gustavo da Silva,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lee_vs._Oliveira,Bruno Silva,David Dvorak,David Dvorak,Bruno Silva,Flyweight,David Dvořák,def,Bruno Gustavo da Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+/ESPN),,,11,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14,513,UFC Fight Night: Lee vs. Oliveira
Israel Adesanya,Yoel Romero,https://en.wikipedia.org/wiki/UFC_248,Israel Adesanya,Yoel Romero,Israel Adesanya,Yoel Romero,Middleweight,Israel Adesanya (c),def,Yoel Romero,"Decision (unanimous) (48–47, 48–47, 49–46)",5.0,5:00,For the UFC Middleweight Championship.,Main Card,https://en.wikipedia.org/wiki/Israel_Adesanya,https://en.wikipedia.org/wiki/Yoel_Romero,1,Unanimous Decision,Main Event,Israel Adesanya,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Beneil Dariush,Drakkar Klose,https://en.wikipedia.org/wiki/UFC_248,Beneil Dariush,Drakkar Klose,Beneil Dariush,Drakkar Klose,Lightweight,Beneil Dariush,def,Drakkar Klose,KO (punch),2.0,1:00,,Main Card,https://en.wikipedia.org/wiki/Beneil_Dariush,https://en.wikipedia.org/wiki/Drakkar_Klose,3,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Alex Oliveira,Max Griffin,https://en.wikipedia.org/wiki/UFC_248,Alex Oliveira,Max Griffin,Alex Oliveira,Max Griffin,Welterweight,Alex Oliveira,def,Max Griffin,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,,Main Card,https://en.wikipedia.org/wiki/Alex_Oliveira_(fighter),https://en.wikipedia.org/wiki/Max_Griffin_(fighter),5,Split Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Rodolfo Vieira,Saparbek Safarov,https://en.wikipedia.org/wiki/UFC_248,Rodolfo Vieira,Saparbek Safarov,Rodolfo Vieira,Saparbek Safarov,Middleweight,Rodolfo Vieira,def,Saparbek Safarov,Submission (arm-triangle choke),1.0,2:58,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Rodolfo_Vieira_(fighter),https://en.wikipedia.org/wiki/Saparbek_Safarov,8,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Giga Chikadze,Jamall Emmers,https://en.wikipedia.org/wiki/UFC_248,Giga Chikadze,Jamall Emmers,Giga Chikadze,Jamall Emmers,Featherweight,Giga Chikadze,def,Jamall Emmers,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,,Early Preliminary Card (ESPN+),,,10,Split Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Danaa Batgerel,Guido Cannetti,https://en.wikipedia.org/wiki/UFC_248,Danaa Batgerel,Guido Cannetti,Danaa Batgerel,Guido Cannetti,Bantamweight,Danaa Batgerel,def,Guido Cannetti,KO (punches),1.0,3:01,,Early Preliminary Card (ESPN+),,https://en.wikipedia.org/wiki/Guido_Cannetti,11,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Zhang Weili,Joanna Jędrzejczyk,https://en.wikipedia.org/wiki/UFC_248,Joanna Jedrzejczyk,Zhang Weili,Zhang Weili,Joanna Jedrzejczyk,Women's Strawweight,Zhang Weili (c),def,Joanna Jędrzejczyk,"Decision (split) (48–47, 47–48, 48–47)",5.0,5:00,For the UFC Women's Strawweight Championship.,Main Card,https://en.wikipedia.org/wiki/Zhang_Weili,https://en.wikipedia.org/wiki/Joanna_J%C4%99drzejczyk,2,Split Decision,Main Event,Zhang Weili,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Neil Magny,Li Jingliang,https://en.wikipedia.org/wiki/UFC_248,Li Jingliang,Neil Magny,Neil Magny,Li Jingliang,Welterweight,Neil Magny,def,Li Jingliang,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main Card,https://en.wikipedia.org/wiki/Neil_Magny,https://en.wikipedia.org/wiki/Li_Jingliang,4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Mark Madsen,Austin Hubbard,https://en.wikipedia.org/wiki/UFC_248,Austin Hubbard,Mark Madsen,Mark Madsen,Austin Hubbard,Lightweight,Mark Madsen,def,Austin Hubbard,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Mark_Madsen_(wrestler),https://en.wikipedia.org/wiki/Austin_Hubbard,7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Gerald Meerschaert,Deron Winn,https://en.wikipedia.org/wiki/UFC_248,Deron Winn,Gerald Meerschaert,Gerald Meerschaert,Deron Winn,Middleweight,Gerald Meerschaert,def,Deron Winn,Submission (rear-naked choke),3.0,2:13,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Gerald_Meerschaert,https://en.wikipedia.org/wiki/Deron_Winn,9,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Sean O'Malley,José Alberto Quiñónez,https://en.wikipedia.org/wiki/UFC_248,Jose Quinonez,Sean O'Malley,Sean O'Malley,Jose Quinonez,Bantamweight,Sean O'Malley,def,José Alberto Quiñónez,TKO (head kick and punches),1.0,2:02,,Preliminary Card (ESPN),https://en.wikipedia.org/wiki/Sean_O%27Malley_(fighter),https://en.wikipedia.org/wiki/Jos%C3%A9_Alberto_Qui%C3%B1%C3%B3nez,6,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849,2020-03-07,512,UFC 248: Adesanya vs. Romero
Deiveson Figueiredo,Joseph Benavidez,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,Joseph Benavidez,Catchweight (127.5 lbs),Deiveson Figueiredo,def,Joseph Benavidez,TKO (punches),2.0,1:54,For the vacant UFC Flyweight Championship (only Benavidez was eligible).,Main card (ESPN+),https://en.wikipedia.org/wiki/Deiveson_Figueiredo,https://en.wikipedia.org/wiki/Joseph_Benavidez,1,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Brendan Allen,Tom Breese,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Brendan Allen,Tom Breese,Brendan Allen,Tom Breese,Middleweight,Brendan Allen,def,Tom Breese,TKO (elbows and punches),1.0,4:47,,Preliminary card (ESPN+),,https://en.wikipedia.org/wiki/Tom_Breese,7,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Jordan Griffin,T.J. Brown,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Jordan Griffin,T.J. Brown,Jordan Griffin,T.J. Brown,Featherweight,Jordan Griffin,def,T.J. Brown,Technical Submission (guillotine choke),2.0,3:38,,Preliminary card (ESPN+),,,10,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Magomed Ankalaev,Ion Cuțelaba,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Ion Cutelaba,Magomed Ankalaev,Magomed Ankalaev,Ion Cutelaba,Light Heavyweight,Magomed Ankalaev,def,Ion Cuțelaba,TKO (head kicks and punches),1.0,0:38,,Main card (ESPN+),https://en.wikipedia.org/wiki/Magomed_Ankalaev,https://en.wikipedia.org/wiki/Ion_Cu%C8%9Belaba,3,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Grant Dawson,Darrick Minner,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Darrick Minner,Grant Dawson,Grant Dawson,Darrick Minner,Catchweight (149.5 lbs),Grant Dawson,def,Darrick Minner,Submission (rear-naked choke),2.0,1:38,,Main card (ESPN+),https://en.wikipedia.org/wiki/Grant_Dawson,,5,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Kyler Phillips,Gabriel Silva,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Gabriel Silva,Kyler Phillips,Kyler Phillips,Gabriel Silva,Bantamweight,Kyler Phillips,def,Gabriel Silva,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (ESPN+),,,6,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Spike Carlyle,Aalon Cruz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Aalon Cruz,Spike Carlyle,Spike Carlyle,Aalon Cruz,Featherweight,Spike Carlyle,def,Aalon Cruz,TKO (punches),1.0,1:25,,Preliminary card (ESPN+),,,11,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Sean Brady,Ismail Naurdiev,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Ismail Naurdiev,Sean Brady,Sean Brady,Ismail Naurdiev,Welterweight,Sean Brady,def,Ismail Naurdiev,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,,Preliminary card (ESPN+),,https://en.wikipedia.org/wiki/Ismail_Naurdiev,12,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Felicia Spencer,Zarah Fairn dos Santos,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Felicia Spencer,Zarah Fairn,Felicia Spencer,Zarah Fairn,Women's Featherweight,Felicia Spencer,def,Zarah Fairn dos Santos,TKO (elbows and punches),1.0,3:37,,Main card (ESPN+),https://en.wikipedia.org/wiki/Felicia_Spencer,,2,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Megan Anderson,Norma Dumont Viana,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Megan Anderson,Norma Dumont,Megan Anderson,Norma Dumont,Women's Featherweight,Megan Anderson,def,Norma Dumont Viana,KO (punch),1.0,3:31,,Main card (ESPN+),https://en.wikipedia.org/wiki/Megan_Anderson_(fighter),,4,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Marcin Tybura,Sergey Spivak,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Marcin Tybura,Sergey Spivac,Marcin Tybura,Sergey Spivac,Heavyweight,Marcin Tybura,def,Sergey Spivak,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Marcin_Tybura,https://en.wikipedia.org/wiki/Sergey_Spivak,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Luis Peña,Steve Garcia,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Luis Pena,Steve Garcia Jr.,Luis Pena,Steve Garcia Jr.,Lightweight,Luis Peña,def,Steve Garcia,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Luis_Pe%C3%B1a_(fighter),https://en.wikipedia.org/wiki/Steve_Garcia,9,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo
Dan Hooker,Paul Felder,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Dan Hooker,Paul Felder,Dan Hooker,Paul Felder,Lightweight,Dan Hooker,def,Paul Felder,"Decision (split) (47–48, 48–47, 48–47)",5.0,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Dan_Hooker,https://en.wikipedia.org/wiki/Paul_Felder,1,Split Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Jimmy Crute,Michał Oleksiejczuk,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Jimmy Crute,Michal Oleksiejczuk,Jimmy Crute,Michal Oleksiejczuk,Light Heavyweight,Jimmy Crute,def,Michał Oleksiejczuk,Submission (kimura),1.0,3:29,,Main card (ESPN+),https://en.wikipedia.org/wiki/Jimmy_Crute,https://en.wikipedia.org/wiki/Micha%C5%82_Oleksiejczuk,2,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Brad Riddell,Magomed Mustafaev,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Brad Riddell,Magomed Mustafaev,Brad Riddell,Magomed Mustafaev,Lightweight,Brad Riddell,def,Magomed Mustafaev,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,,Main card (ESPN+),,https://en.wikipedia.org/wiki/Magomed_Mustafaev,5,Split Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Kai Kara-France,Tyson Nam,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Kai Kara-France,Tyson Nam,Kai Kara-France,Tyson Nam,Flyweight,Kai Kara-France,def,Tyson Nam,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Kai_Kara-France,https://en.wikipedia.org/wiki/Tyson_Nam,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Angela Hill,Loma Lookboonmee,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Angela Hill,Loma Lookboonmee,Angela Hill,Loma Lookboonmee,Women's Strawweight,Angela Hill,def,Loma Lookboonmee,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Angela_Hill_(fighter),https://en.wikipedia.org/wiki/Loma_Lookboonmee,11,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Priscila Cachoeira,Shana Dobson,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Priscila Cachoeira,Shana Dobson,Priscila Cachoeira,Shana Dobson,Women's Flyweight,Priscila Cachoeira,def,Shana Dobson,KO (punch),1.0,0:40,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Priscila_Cachoeira,,12,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Yan Xiaonan,Karolina Kowalkiewicz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Karolina Kowalkiewicz,Yan Xiaonan,Yan Xiaonan,Karolina Kowalkiewicz,Women's Strawweight,Yan Xiaonan,def,Karolina Kowalkiewicz,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,5:00,,Main card (ESPN+),https://en.wikipedia.org/wiki/Yan_Xiaonan,https://en.wikipedia.org/wiki/Karolina_Kowalkiewicz,3,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Marcos Rogério de Lima,Ben Sosoli,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Ben Sosoli,Marcos Rogerio de Lima,Marcos Rogerio de Lima,Ben Sosoli,Heavyweight,Marcos Rogério de Lima,def,Ben Sosoli,TKO (punches),1.0,1:28,,Main card (ESPN+),https://en.wikipedia.org/wiki/Marcos_Rog%C3%A9rio_de_Lima,,4,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Zubaira Tukhugov,Kevin Aguilar,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Kevin Aguilar,Zubaira Tukhugov,Zubaira Tukhugov,Kevin Aguilar,Featherweight,Zubaira Tukhugov,def,Kevin Aguilar,TKO (punches),1.0,3:21,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Zubaira_Tukhugov,https://en.wikipedia.org/wiki/Kevin_Aguilar,6,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Song Kenan,Callan Potter,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Callan Potter,Song Kenan,Song Kenan,Callan Potter,Welterweight,Song Kenan,def,Callan Potter,KO (punches),1.0,2:20,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Song_Kenan,,9,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Jalin Turner,Joshua Culibao,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Jalin Turner,Josh Culibao,Jalin Turner,Josh Culibao,Lightweight,Jalin Turner,def,Joshua Culibao,TKO (punches),2.0,3:01,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Jalin_Turner,,7,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Jake Matthews,Emil Weber Meek,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Felder_vs._Hooker,Emil Meek,Jake Matthews,Jake Matthews,Emil Meek,Welterweight,Jake Matthews,def,Emil Weber Meek,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (ESPN+),https://en.wikipedia.org/wiki/Jake_Matthews_(fighter),https://en.wikipedia.org/wiki/Emil_Weber_Meek,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-23,510,UFC Fight Night: Felder vs. Hooker
Diego Sanchez,Michel Pereira,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Anderson_vs._B%C5%82achowicz_2,Diego Sanchez,Michel Pereira,Diego Sanchez,Michel Pereira,Welterweight,Diego Sanchez,def,Michel Pereira,DQ (illegal knee),3.0,3:09,,Main card (ESPN+),https://en.wikipedia.org/wiki/Diego_Sanchez,,2,,Main Event,,,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848,2020-02-15,509,UFC Fight Night: Anderson vs. Błachowicz 2
